# Efficiency Map for Biexponential IVIM model (Phase E)
# All standard deviations (SD) and true values are in display units:
#   D and Dstar: 1e-3 mm^2/s (unscaled absolute multiplied by 1000)
#   f: unitless (unscaled)
# Ratios are computed relative to the analytical CRLB SD floor:
#   npe_post_ratio = npe_post_sd / crlb_sd  (claimed precision efficiency)
#   npe_emp_ratio  = npe_emp_sd  / crlb_sd  (achieved estimator efficiency)
#   nlls_ratio     = nlls_emp_sd / crlb_sd  (baseline efficiency)
# Regimes classified by npe_post_ratio:
#   overconfident: ratio < 0.9
#   efficient:     0.9 <= ratio <= 1.5
#   inefficient:   ratio > 1.5
D_true,Dstar_true,f_true,snr,parameter,crlb_sd,npe_post_sd,npe_post_w90,npe_emp_sd,nlls_emp_sd,npe_post_ratio,npe_emp_ratio,nlls_ratio,regime
0.6,10.0,0.02,10.0,D,0.31157926608403447,0.15845737,0.53214186,0.07665233,0.1562119459585089,0.5085619804032554,0.2460123040398321,0.5013553947982462,overconfident
0.6,10.0,0.02,10.0,Dstar,143.43993544878623,32.162212,103.0018,6.07263,58.71946840550989,0.22422076718871198,0.04233569897803696,0.4093662495161613,overconfident
0.6,10.0,0.02,10.0,f,0.1976933372908944,0.0891396,0.27661446,0.01933282,0.09636354451755182,0.4508983676430204,0.09779196817928235,0.4874395153528032,overconfident
0.6,10.0,0.08142857142857143,10.0,D,0.3324158266464193,0.19335896,0.6362606,0.10030705,0.21260379306197663,0.5816779535384657,0.3017517197632998,0.6395718134326887,overconfident
0.6,10.0,0.08142857142857143,10.0,Dstar,35.230861338298325,28.02206,83.516624,5.6981735,65.56004913848949,0.79538391426795,0.16173812692892975,1.8608698921369058,overconfident
0.6,10.0,0.08142857142857143,10.0,f,0.19769333729089428,0.10738683,0.33623722,0.023898203,0.1204443949054879,0.5431990219825091,0.12088522179559176,0.6092486300044647,overconfident
0.6,10.0,0.14285714285714285,10.0,D,0.35623896088941354,0.25012997,0.81814146,0.1220556,0.2044717605930026,0.7021409654447651,0.34262282064428806,0.5739736049153711,overconfident
0.6,10.0,0.14285714285714285,10.0,Dstar,20.081590962830113,26.804554,79.491325,6.541103,43.27832660443678,1.3347823902602844,0.3257263280736652,2.1551243964954026,efficient
0.6,10.0,0.14285714285714285,10.0,f,0.1976933372908949,0.12511103,0.40141666,0.021425698,0.11829939571181612,0.6328540469118661,0.10837845243606864,0.5983984960390701,overconfident
0.6,10.0,0.20428571428571426,10.0,D,0.38374035284317437,0.26220018,0.88326466,0.14377607,0.26017054275759766,0.6832749664536997,0.374670198186363,0.6779858850651633,overconfident
0.6,10.0,0.20428571428571426,10.0,Dstar,14.043070603377693,23.641617,66.78119,7.2224717,43.88672964586394,1.6835076522083916,0.5143085809368928,3.125151961801583,inefficient
