# Efficiency Map for Biexponential IVIM model (Phase E)
# All standard deviations (SD) and true values are in display units:
#   D and Dstar: 1e-3 mm^2/s (unscaled absolute multiplied by 1000)
#   f: unitless (unscaled)
# Ratios are computed relative to the analytical CRLB SD floor:
#   npe_post_ratio = npe_post_sd / crlb_sd  (claimed precision efficiency)
#   npe_emp_ratio  = npe_emp_sd  / crlb_sd  (achieved estimator efficiency)
#   nlls_ratio     = nlls_emp_sd / crlb_sd  (baseline efficiency)
# Regimes classified by npe_post_ratio:
#   overconfident: ratio < 0.9
#   efficient:     0.9 <= ratio <= 1.5
#   inefficient:   ratio > 1.5
D_true,Dstar_true,f_true,snr,parameter,crlb_sd,npe_post_sd,npe_post_w90,npe_emp_sd,nlls_emp_sd,npe_post_ratio,npe_emp_ratio,nlls_ratio,regime
0.6,10.0,0.02,10.0,D,0.37666575324114154,0.15904923,0.50756824,0.09487263,0.15241836338910078,0.42225561114902976,0.2518748527474044,0.4046515035613617,overconfident
0.6,10.0,0.02,10.0,Dstar,201.08292076730507,32.23814,101.93555,5.303273,70.06498217126173,0.1603226170735178,0.026373563606258556,0.3484382557399867,overconfident
0.6,10.0,0.02,10.0,f,0.2598440625457547,0.07524492,0.2423658,0.024001677,0.08752403707142029,0.28957720922472413,0.09236954023155416,0.3368329305427504,overconfident
0.6,10.0,0.08142857142857143,10.0,D,0.4018549093676878,0.21327022,0.7082994,0.087294824,0.21382391006622511,0.5307144748233369,0.21722970750503653,0.5320923176045642,overconfident
0.6,10.0,0.08142857142857143,10.0,Dstar,49.38878755688197,32.795925,100.250015,5.2963095,60.968129015763445,0.6640358421961501,0.10723708220272697,1.2344528390283995,overconfident
0.6,10.0,0.08142857142857143,10.0,f,0.2598440625457549,0.100356795,0.31766433,0.03273739,0.11660503403795235,0.3862193113458969,0.12598859826216618,0.4487500422197249,overconfident
0.6,10.0,0.14285714285714285,10.0,D,0.43065451120570486,0.23677488,0.7884162,0.12471539,0.24334067210491597,0.5498023834717378,0.28959498757375474,0.5650484687217935,overconfident
0.6,10.0,0.14285714285714285,10.0,Dstar,28.151608907422716,34.669773,111.109665,4.796759,60.48797672481703,1.2315378924103086,0.17039023042501128,2.1486507902171166,efficient
0.6,10.0,0.14285714285714285,10.0,f,0.2598440625457546,0.10928289,0.3508698,0.030461608,0.12527216139625397,0.42057104326883427,0.11723033885196793,0.4821051524861971,overconfident
0.6,10.0,0.20428571428571426,10.0,D,0.46390073020363226,0.26285928,0.8777737,0.17060368,0.2745444181784057,0.5666283059360422,0.36775901938230815,0.5918171718718628,overconfident
0.6,10.0,0.20428571428571426,10.0,Dstar,19.686439795400506,34.461735,111.606865,7.48214,64.62446367002036,1.750531590774482,0.38006567678060366,3.2826892186528855,inefficient
0.6,10.0,0.20428571428571426,10.0,f,0.25984406254575476,0.11327964,0.36538792,0.02991969,0.12289042124156559,0.43595239223387744,0.1151447881012293,0.4729391160128062,overconfident
0.6,10.0,0.26571428571428574,10.0,D,0.5027095461545203,0.3149672,1.0486684,0.21707207,0.2894226876979063,0.6265390973141622,0.4318041527268023,0.5757254659511578,overconfident
0.6,10.0,0.26571428571428574,10.0,Dstar,15.135273606141265,32.684475,95.59738,5.7786617,53.5891913765094,2.159490194601197,0.3818009425056269,3.5406820366144642,inefficient
0.6,10.0,0.26571428571428574,10.0,f,0.2598440625457551,0.12213084,0.4039551,0.023028389,0.13359770169799118,0.4700159003835763,0.08862387846698602,0.51414567794662,overconfident
0.6,10.0,0.3271428571428572,10.0,D,0.5486044728735103,0.35621643,1.1537285,0.22394197,0.31480257126352873,0.6493137556794838,0.40820295488717645,0.5738242884069805,overconfident
0.6,10.0,0.3271428571428572,10.0,Dstar,12.293278998874557,34.88781,108.58472,6.523984,54.08344159905992,2.8379580221527494,0.5306951836024032,4.399431722326584,inefficient
0.6,10.0,0.3271428571428572,10.0,f,0.259844062545755,0.12333104,0.4140734,0.030703707,0.14208663359113247,0.4746348211141048,0.11816204829163914,0.546815009737284,overconfident
0.6,10.0,0.38857142857142857,10.0,D,0.6037212773911772,0.37762165,1.254426,0.24855046,0.35120245320434973,0.6254900478704237,0.41169736607030244,0.5817294608564714,overconfident
0.6,10.0,0.38857142857142857,10.0,Dstar,10.349856215964255,34.2954,109.87808,5.2136817,59.35990144388367,3.313611126235635,0.5037443602166719,5.735335854455959,inefficient
