# Checkpoint F2: Real-Data Overconfidence Demo Results
nominal_level,npe_coverage,nlls_coverage,npe_deviation,nlls_deviation
0.5,0.012666666666666666,0.482,-0.48733333333333334,-0.018000000000000016
0.68,0.018,0.6266666666666667,-0.662,-0.053333333333333344
0.8,0.023333333333333334,0.726,-0.7766666666666667,-0.07400000000000007
0.9,0.028,0.826,-0.872,-0.07400000000000007
0.95,0.030666666666666665,0.904,-0.9193333333333333,-0.04599999999999993
