D_true,Dstar_true,f_true,snr,npe_post_sd,crlb_sd_analytic,crlb_sd_analytic_recomputed,crlb_sd_sampled,crlb_sd_rician,ratio_analytic,ratio_sampled,ratio_rician,rail_rate_dstar,diverged_rate
0.6,10.0,0.02,10.0,32.23814,201.08292076730507,201.08292076730507,198.33390969091343,201.94691098105218,0.1603226170735178,0.16254477134162487,0.1596367077039607,0.384,0.0
0.8571428571428571,10.0,0.02,10.0,35.649933,216.9480171374112,216.9480171374112,194.45845259430692,216.79728439795704,0.1643247692775549,0.18332930517746857,0.16443902006890607,0.391,0.0
1.1142857142857143,10.0,0.02,10.0,34.738216,234.87021766283226,234.87021766283226,195.01897772244013,236.80827684755403,0.14790387962263868,0.17812736178650782,0.14669341993634294,0.3465,0.0
1.3714285714285714,10.0,0.02,10.0,37.09336,255.1574705691086,255.1574705691086,198.2001887474592,259.1631697339785,0.14537438711139866,0.18715098221860552,0.14312743603990863,0.2595,0.0
1.6285714285714283,10.0,0.02,10.0,32.413036,278.17238598728187,278.17238598728187,194.2456134835436,286.1757372208077,0.11652140176098386,0.1668662443321842,0.11326269765137609,0.117,0.0
1.8857142857142857,10.0,0.02,10.0,37.013783,304.34060385652134,304.34060385652134,191.6464380927278,314.2478949975948,0.12161959998827669,0.19313577318922537,0.11778530131533034,0.06,0.0
2.142857142857143,10.0,0.02,10.0,37.054707,334.16085545831197,334.16085545831197,195.073931928102,354.25078210127447,0.11088883083766544,0.1899521203768896,0.10460021225699558,0.0505,0.0
2.4,10.0,0.02,10.0,35.837627,368.21752234435814,368.21752234435814,192.16192213227063,399.3942702882085,0.0973273275609443,0.18649702606186422,0.0897299477384567,0.0695,0.0
0.6,10.0,0.08142857142857143,10.0,32.795925,49.38878755688197,49.38878755688197,199.7294347526294,49.59799834529606,0.6640358421961501,0.1642017614510284,0.6612348500775819,0.2375,0.0
0.8571428571428571,10.0,0.08142857142857143,10.0,34.870003,53.28547789339918,53.28547789339918,204.25135620473742,53.77265016712039,0.6543997375108764,0.17072103533573119,0.6484709771905843,0.2445,0.0
