snr_bin,parameter,ks_pval,c2st_ranks,c2st_dap
low,D,0.20126672,0.5621103117505994,0.5346053591909081
low,Dstar,0.8345429,0.5403920341987279,0.46386195391512874
low,f,0.5791156,0.5144510478573663,0.49855072463768113
mid,D,0.023353996,0.49394379844961234,0.4750847868217054
mid,Dstar,0.02383368,0.5296632751937984,0.4892320736434108
mid,f,0.0038149117,0.5544694767441861,0.5141230620155038
high,D,0.2837399,0.49697003703288073,0.48949612838065304
high,Dstar,0.14225829,0.46390977443609016,0.5000785545954438
high,f,0.28185555,0.4969588149478173,0.4864773874985972
