snr_single,snr_avg,chi2_red,npe_selfconsistency,heldout_rms_z,covered95_allheldout
19.6752,48.1943,0.79103,17.55077,20.67063,0
33.3950,81.8007,3.14671,14.58630,16.50163,0
13.6465,33.4269,0.01673,8.87769,10.10611,0
33.2187,81.3689,1.76425,25.03126,29.41700,0
21.3989,52.4165,4.34712,15.53245,18.26708,0
27.1069,66.3980,0.62075,18.66096,22.21047,0
14.7906,36.2293,0.06592,7.76914,7.82357,0
23.8392,58.3939,0.43529,12.30242,13.56196,0
26.4412,64.7675,8.69658,18.78887,24.28039,0
25.0730,61.4160,6.79689,17.21499,21.46709,0
36.6635,89.8068,2.05532,18.79523,22.86444,0
23.6078,57.8271,0.95670,17.74106,22.84902,0
25.2631,61.8816,1.15175,18.49142,22.28392,0
29.8105,73.0205,0.04800,23.20778,26.52101,0
20.3383,49.8184,0.00779,8.11313,9.30963,0
19.8269,48.5658,0.63405,15.00585,18.10501,0
28.9371,70.8811,14.73737,22.97808,25.99378,0
9.9328,24.3303,0.17125,2.72571,2.93957,0
12.7916,31.3329,0.09696,4.65606,5.06316,0
23.9897,58.7624,1.37065,10.06197,11.94138,0
26.4635,64.8221,0.14342,11.39943,13.26696,0
12.3952,30.3619,8.72267,11.43307,12.15178,0
14.0691,34.4621,0.73647,11.57168,12.93607,0
46.9687,115.0494,0.10458,20.87518,26.09659,0
30.3689,74.3884,3.86527,24.85280,31.49391,0
29.3688,71.9385,1.33683,19.79886,22.80655,0
22.4897,55.0882,0.49025,13.61555,17.90529,0
26.8890,65.8644,3.65671,20.02079,23.11633,0
24.7250,60.5637,1.04765,18.50965,19.19250,0
48.2369,118.1558,0.41438,25.13763,30.41825,0
33.9646,83.1959,0.42372,22.21100,24.79821,0
23.3709,57.2468,0.64906,16.16036,18.53518,0
34.7070,85.0146,0.66239,15.65191,17.64137,0
23.0359,56.4263,9.59390,19.29645,21.54625,0
31.8314,77.9708,7.34391,22.56566,26.52921,0
31.8073,77.9117,0.05786,11.12299,12.50140,0
