# Efficiency Map for Biexponential IVIM model (Phase E)
# All standard deviations (SD) and true values are in display units:
#   D and Dstar: 1e-3 mm^2/s (unscaled absolute multiplied by 1000)
#   f: unitless (unscaled)
# Ratios are computed relative to the analytical CRLB SD floor:
#   npe_post_ratio = npe_post_sd / crlb_sd  (claimed precision efficiency)
#   npe_emp_ratio  = npe_emp_sd  / crlb_sd  (achieved estimator efficiency)
#   nlls_ratio     = nlls_emp_sd / crlb_sd  (baseline efficiency)
# Regimes classified by npe_post_ratio:
#   overconfident: ratio < 0.9
#   efficient:     0.9 <= ratio <= 1.5
#   inefficient:   ratio > 1.5
D_true,Dstar_true,f_true,snr,parameter,crlb_sd,npe_post_sd,npe_post_w90,npe_emp_sd,nlls_emp_sd,npe_post_ratio,npe_emp_ratio,nlls_ratio,regime
0.6,10.0,0.02,10.0,D,0.37666575324114154,0.1649709,0.5405675,0.09214164,0.15241836338910078,0.43797691499467145,0.2446244246355812,0.4046515035613617,overconfident
0.6,10.0,0.02,10.0,Dstar,201.08292076730507,21.726742,69.157166,3.0741694,70.06498217126173,0.1080486682203799,0.015288068154289354,0.3484382557399867,overconfident
0.6,10.0,0.02,10.0,f,0.2598440625457547,0.06676346,0.21191269,0.021742646,0.08752403707142029,0.2569366410840458,0.08367574551476814,0.3368329305427504,overconfident
0.6,10.0,0.08142857142857143,10.0,D,0.4018549093676878,0.19821402,0.645821,0.09231748,0.21382391006622511,0.4932477361474324,0.2297283788666151,0.5320923176045642,overconfident
0.6,10.0,0.08142857142857143,10.0,Dstar,49.38878755688197,20.625748,62.323833,2.3689559,60.968129015763445,0.4176200449729407,0.04796545871616764,1.2344528390283995,overconfident
0.6,10.0,0.08142857142857143,10.0,f,0.2598440625457549,0.07784693,0.25338253,0.028309664,0.11660503403795235,0.299590949542108,0.10894866513525556,0.4487500422197249,overconfident
0.6,10.0,0.14285714285714285,10.0,D,0.43065451120570486,0.22341694,0.76090735,0.11125915,0.24334067210491597,0.5187846256440773,0.2583489656554185,0.5650484687217935,overconfident
0.6,10.0,0.14285714285714285,10.0,Dstar,28.151608907422716,23.113632,72.416954,2.5087683,60.48797672481703,0.8210412512534615,0.08911633890388883,2.1486507902171166,overconfident
0.6,10.0,0.14285714285714285,10.0,f,0.2598440625457546,0.08098592,0.2711742,0.028288001,0.12527216139625397,0.31167123022805265,0.10886529758445107,0.4821051524861971,overconfident
0.6,10.0,0.20428571428571426,10.0,D,0.46390073020363226,0.23200873,0.7604288,0.13915153,0.2745444181784057,0.5001258034297502,0.29995970995041826,0.5918171718718628,overconfident
0.6,10.0,0.20428571428571426,10.0,Dstar,19.686439795400506,23.276594,72.43928,2.5013497,64.62446367002036,1.1823668679506791,0.1270595249101721,3.2826892186528855,efficient
0.6,10.0,0.20428571428571426,10.0,f,0.25984406254575476,0.08623969,0.28857636,0.030046057,0.12289042124156559,0.3318901623285892,0.11563110837201487,0.4729391160128062,overconfident
0.6,10.0,0.26571428571428574,10.0,D,0.5027095461545203,0.2806923,0.89257133,0.17446475,0.2894226876979063,0.5583588202935802,0.347048805108743,0.5757254659511578,overconfident
0.6,10.0,0.26571428571428574,10.0,Dstar,15.135273606141265,24.193588,72.05022,2.9592822,53.5891913765094,1.5984903138466677,0.19552221101602973,3.5406820366144642,inefficient
0.6,10.0,0.26571428571428574,10.0,f,0.2598440625457551,0.087399095,0.28540885,0.030299315,0.13359770169799118,0.3363520968714454,0.11660576321124505,0.51414567794662,overconfident
0.6,10.0,0.3271428571428572,10.0,D,0.5486044728735103,0.32936323,1.028389,0.18561569,0.31480257126352873,0.6003655514607953,0.3383415515921065,0.5738242884069805,overconfident
0.6,10.0,0.3271428571428572,10.0,Dstar,12.293278998874557,23.087854,67.95952,2.9475021,54.08344159905992,1.878087562113384,0.2397653332768508,4.399431722326584,inefficient
0.6,10.0,0.3271428571428572,10.0,f,0.259844062545755,0.09979465,0.33412355,0.03471541,0.14208663359113247,0.38405591265003886,0.13360093735387163,0.546815009737284,overconfident
0.6,10.0,0.38857142857142857,10.0,D,0.6037212773911772,0.31197742,1.0631477,0.22025886,0.35120245320434973,0.516757364632004,0.36483534708592247,0.5817294608564714,overconfident
0.6,10.0,0.38857142857142857,10.0,Dstar,10.349856215964255,21.521244,63.957336,2.199272,59.35990144388367,2.079376138180217,0.21249299231334703,5.735335854455959,inefficient
0.6,10.0,0.38857142857142857,10.0,f,0.2598440625457554,0.10078245,0.33311948,0.02825513,0.14144117590434654,0.3878574156201752,0.10873879108947226,0.544330990358652,overconfident
0.6,10.0,0.45,10.0,D,0.671149887593306,0.3978304,1.2708933,0.24849701,0.289308875433442,0.5927593883941943,0.37025560738516355,0.43106447722263996,overconfident
0.6,10.0,0.45,10.0,Dstar,8.937018700769105,18.9253,55.479324,2.823978,45.447249878441596,2.117630188746931,0.3159865769322023,5.085280830231505,inefficient
0.6,10.0,0.45,10.0,f,0.25984406254575443,0.10877138,0.36557534,0.036680892,0.11909270265935444,0.41860250815862343,0.14116501932158634,0.4583237403717243,overconfident
0.6,25.71428571428572,0.02,10.0,D,0.22978623164451306,0.17783552,0.5895034,0.10799555,0.17089459755776493,0.7739172308517653,0.4699826729448875,0.7437112151355724,overconfident
0.6,25.71428571428572,0.02,10.0,Dstar,494.81478953441876,23.012049,68.480835,2.3836372,56.03360302873541,0.046506388264922274,0.004817231093896617,0.1132415687927569,overconfident
0.6,25.71428571428572,0.02,10.0,f,0.12871929565412932,0.06841486,0.22080746,0.024138084,0.09929139252009311,0.5315043026457902,0.18752498262827347,0.7713792405055616,overconfident
0.6,25.71428571428572,0.08142857142857143,10.0,D,0.24515296253209304,0.19942759,0.6559682,0.11865085,0.19882215883066204,0.8134822753693,0.4839870275618146,0.8110126705266072,overconfident
0.6,25.71428571428572,0.08142857142857143,10.0,Dstar,121.53345707862907,22.386381,68.45204,2.5920682,68.04996379722724,0.18419932821304152,0.021328021580641905,0.5599278209719701,overconfident
0.6,25.71428571428572,0.08142857142857143,10.0,f,0.12871929565412923,0.0748873,0.24635622,0.026908504,0.12808636408034146,0.5817876618029819,0.20904794194677404,0.9950828539686197,overconfident
