nlls_dstar,npe_dstar,nlls_railed
0.150000,0.032483,1
0.119641,0.051087,0
0.150000,0.031839,1
0.150000,0.027259,1
0.150000,0.040754,1
0.050585,0.041701,0
0.150000,0.026199,1
0.150000,0.042158,1
0.060017,0.039120,0
0.050981,0.034357,0
0.117457,0.033772,0
0.092176,0.038389,0
0.150000,0.033281,1
0.150000,0.036907,1
0.125109,0.044949,0
0.150000,0.030116,1
0.065789,0.026991,0
0.150000,0.032412,1
0.150000,0.034988,1
0.096580,0.025846,0
0.150000,0.024861,1
0.150000,0.026321,1
0.150000,0.028773,1
0.150000,0.033387,1
0.127540,0.025472,0
0.150000,0.027690,1
0.147390,0.026949,0
0.150000,0.036600,1
0.150000,0.031965,1
0.150000,0.024708,1
0.150000,0.029525,1
0.053105,0.022002,0
0.150000,0.033204,1
0.150000,0.023485,1
0.150000,0.023864,1
0.150000,0.031722,1
0.011656,0.027828,0
0.150000,0.022285,1
0.150000,0.026402,1
0.150000,0.031345,1
0.150000,0.018623,1
0.150000,0.034806,1
0.150000,0.023709,1
0.150000,0.036474,1
0.150000,0.029156,1
0.063799,0.030719,0
0.045768,0.033306,0
0.150000,0.030344,1
0.086178,0.029231,0
0.127387,0.025529,0
0.098226,0.031714,0
0.150000,0.031376,1
0.067783,0.030540,0
0.084955,0.038963,0
0.049635,0.026507,0
0.150000,0.040819,1
0.150000,0.040663,1
0.132346,0.039639,0
0.150000,0.030116,1
0.082942,0.031447,0
0.125598,0.048668,0
0.017236,0.022262,0
0.150000,0.032138,1
0.150000,0.031906,1
0.150000,0.030552,1
0.059619,0.028614,0
0.150000,0.037100,1
0.150000,0.043946,1
0.021731,0.031160,0
0.051878,0.031543,0
0.150000,0.037163,1
0.126864,0.030365,0
0.016412,0.028755,0
0.150000,0.029731,1
0.021022,0.034916,0
0.150000,0.025550,1
0.044199,0.031237,0
0.150000,0.028211,1
0.150000,0.031522,1
0.119268,0.026355,0
0.150000,0.027339,1
0.150000,0.036046,1
0.150000,0.037008,1
0.150000,0.032866,1
0.117904,0.030141,0
0.150000,0.030051,1
0.007539,0.027795,0
0.150000,0.038625,1
0.114662,0.030254,0
0.150000,0.032517,1
0.150000,0.024958,1
0.150000,0.039742,1
0.117219,0.024063,0
0.150000,0.031246,1
0.150000,0.041319,1
0.150000,0.036730,1
0.150000,0.026628,1
0.150000,0.025272,1
0.052136,0.048457,0
0.150000,0.020777,1
0.064050,0.027779,0
0.150000,0.022684,1
0.150000,0.029638,1
0.150000,0.030734,1
0.150000,0.030782,1
0.132332,0.027955,0
0.150000,0.034809,1
0.150000,0.031689,1
0.088154,0.029472,0
0.019322,0.035292,0
0.150000,0.037759,1
0.127218,0.039465,0
0.047264,0.021789,0
0.150000,0.018399,1
0.033732,0.033634,0
0.072971,0.037418,0
0.150000,0.038156,1
0.085518,0.035487,0
0.031179,0.029405,0
0.047359,0.036164,0
0.082402,0.027711,0
0.150000,0.033980,1
0.029749,0.032612,0
0.081135,0.035292,0
0.150000,0.031063,1
0.052940,0.041376,0
0.044270,0.035102,0
0.150000,0.029570,1
0.044650,0.031007,0
0.150000,0.033866,1
0.058771,0.026967,0
0.014269,0.030182,0
0.150000,0.031208,1
0.150000,0.030156,1
0.150000,0.025153,1
0.075027,0.027122,0
0.150000,0.036203,1
0.150000,0.029297,1
0.150000,0.026627,1
0.040048,0.028461,0
0.150000,0.036830,1
0.150000,0.041655,1
0.150000,0.034532,1
0.150000,0.032127,1
0.150000,0.053001,1
0.150000,0.046325,1
0.150000,0.029838,1
0.123308,0.027827,0
0.150000,0.036723,1
0.150000,0.018198,1
0.095930,0.026026,0
0.049165,0.034259,0
0.149999,0.023105,1
0.044653,0.017548,0
0.150000,0.031652,1
0.091148,0.021627,0
0.150000,0.024906,1
0.150000,0.023684,1
0.150000,0.033395,1
0.150000,0.031404,1
0.135228,0.023112,0
0.150000,0.025017,1
0.150000,0.023848,1
0.150000,0.039729,1
0.060970,0.025309,0
0.049499,0.034354,0
0.017120,0.033595,0
0.066529,0.052656,0
0.150000,0.042968,1
0.118519,0.042308,0
0.069292,0.042042,0
0.150000,0.034462,1
0.035563,0.027813,0
0.048350,0.025808,0
0.067864,0.026113,0
0.026333,0.031387,0
0.150000,0.039546,1
0.150000,0.038618,1
0.052315,0.033586,0
0.150000,0.032023,1
0.076057,0.030054,0
0.113490,0.042577,0
0.146408,0.028680,0
0.029564,0.029463,0
0.032938,0.031735,0
0.038553,0.031843,0
0.150000,0.024839,1
0.150000,0.022830,1
0.058858,0.023332,0
0.150000,0.036075,1
0.150000,0.031970,1
0.150000,0.029634,1
0.057491,0.022132,0
0.150000,0.040603,1
0.150000,0.037104,1
0.150000,0.036375,1
0.150000,0.024812,1
0.150000,0.030541,1
0.150000,0.040804,1
0.150000,0.035052,1
0.150000,0.029144,1
0.150000,0.036130,1
0.055228,0.024622,0
0.055813,0.030684,0
0.025467,0.037613,0
0.145585,0.026516,0
0.053562,0.023278,0
0.150000,0.032904,1
0.150000,0.035369,1
0.150000,0.024900,1
0.150000,0.033118,1
0.067429,0.019779,0
0.150000,0.028204,1
0.150000,0.028513,1
0.150000,0.041807,1
0.150000,0.031382,1
0.023884,0.030487,0
0.019461,0.033410,0
0.079372,0.034515,0
0.150000,0.035344,1
0.066166,0.026602,0
0.079435,0.034536,0
0.034655,0.030827,0
0.150000,0.029883,1
0.150000,0.032520,1
0.022926,0.027700,0
0.150000,0.033388,1
0.042822,0.037892,0
0.050112,0.026294,0
0.150000,0.031815,1
0.029838,0.029939,0
0.102447,0.023477,0
0.106354,0.032943,0
0.150000,0.037662,1
0.150000,0.030839,1
0.150000,0.032432,1
0.068996,0.037909,0
0.150000,0.041057,1
0.012022,0.036918,0
0.045795,0.022659,0
0.150000,0.032136,1
0.150000,0.027526,1
0.150000,0.028768,1
0.150000,0.032393,1
0.150000,0.033647,1
0.150000,0.027285,1
0.150000,0.036722,1
0.035077,0.029276,0
0.150000,0.029364,1
0.150000,0.026309,1
0.003610,0.034497,0
0.057925,0.045440,0
0.087527,0.042188,0
0.039605,0.036091,0
0.057238,0.024166,0
0.015508,0.029620,0
0.150000,0.034392,1
0.011330,0.035738,0
0.150000,0.033546,1
0.150000,0.042143,1
0.150000,0.030544,1
0.075263,0.031738,0
0.003000,0.054347,1
0.003000,0.048564,1
0.150000,0.015967,1
0.004535,0.021065,0
0.150000,0.035546,1
0.003000,0.053293,1
0.114752,0.038887,0
0.003000,0.027472,1
0.003000,0.055843,1
0.003000,0.064295,1
0.003000,0.036988,1
0.003000,0.043038,1
0.003000,0.049832,1
0.003000,0.067908,1
0.003000,0.056855,1
0.003000,0.052090,1
0.003000,0.070504,1
0.003000,0.031715,1
0.150000,0.043333,1
0.150000,0.022900,1
0.009773,0.027960,0
0.003000,0.034696,1
0.003000,0.051438,1
0.150000,0.025316,1
0.003000,0.047914,1
0.003000,0.049391,1
0.003000,0.049196,1
0.003000,0.037579,1
0.003000,0.050689,1
0.003000,0.046975,1
0.003000,0.056305,1
0.003000,0.053772,1
0.003000,0.060206,1
0.003000,0.053123,1
0.003000,0.066813,1
0.003000,0.065560,1
0.003000,0.069695,1
0.003000,0.053691,1
0.003000,0.039739,1
0.003000,0.049663,1
0.003000,0.058804,1
0.150000,0.026194,1
0.013517,0.023942,0
0.003000,0.027521,1
0.003000,0.049300,1
0.003000,0.033360,1
0.003000,0.028812,1
0.003000,0.039926,1
0.003000,0.054314,1
0.003000,0.044034,1
0.003000,0.053606,1
0.003000,0.045992,1
0.003000,0.060417,1
0.003000,0.060737,1
0.003000,0.048156,1
0.003000,0.049629,1
0.003000,0.053545,1
0.003000,0.066981,1
0.003000,0.063987,1
0.003000,0.071184,1
0.003000,0.058437,1
0.003000,0.047543,1
0.003000,0.047607,1
0.003000,0.055372,1
0.019445,0.042814,0
0.020330,0.025194,0
0.150000,0.022929,1
0.011021,0.023503,0
0.003000,0.028938,1
0.150000,0.038905,1
0.003000,0.045106,1
0.003000,0.062308,1
0.003000,0.035210,1
0.003000,0.049388,1
0.003000,0.055988,1
0.003000,0.062794,1
0.003000,0.048688,1
0.003000,0.048148,1
0.149999,0.065038,1
0.003000,0.052910,1
0.003000,0.045721,1
0.003000,0.052893,1
0.003000,0.061771,1
0.003000,0.054645,1
0.003000,0.057581,1
0.003000,0.064244,1
0.003000,0.041027,1
0.003000,0.045700,1
0.018405,0.056764,0
0.003000,0.062400,1
0.003000,0.041424,1
0.003000,0.047319,1
0.080811,0.033580,0
0.003000,0.039269,1
0.150000,0.032517,1
0.003000,0.026978,1
0.150000,0.020410,1
0.003000,0.033964,1
0.003000,0.055474,1
0.003000,0.040623,1
0.003000,0.039513,1
0.003000,0.047119,1
0.003000,0.046098,1
0.003000,0.040992,1
0.003000,0.047819,1
0.003000,0.051730,1
0.003000,0.050995,1
0.003000,0.064255,1
0.003000,0.050408,1
0.003000,0.058805,1
0.003000,0.055991,1
0.003000,0.065168,1
0.003000,0.053917,1
