snr,nsf_claimed_ratio,maf_claimed_ratio,nsf_achieved_ratio,maf_achieved_ratio
10.0,0.08356963934836655,0.0782199566649265,0.01794685875258375,0.01770202765911665
20.0,0.15955741815611255,0.14629305991981761,0.04385432790577,0.04311776647203275
50.0,0.3762742028929421,0.35046755642703586,0.12453984606731355,0.10533850774860351
100.0,0.6710795300184935,0.6752558120516402,0.18652698724447425,0.15946873058680922
