snr,loguniform_claimed_ratio,tissue_claimed_ratio,loguniform_achieved_ratio,tissue_achieved_ratio
10.0,0.08356963934836655,0.05011238297823685,0.01794685875258375,0.008053272031463499
20.0,0.15955741815611255,0.1028387995545533,0.04385432790577,0.02207314772780465
50.0,0.3762742028929421,0.23924356060753899,0.12453984606731355,0.07465656615367916
100.0,0.6710795300184935,0.4798067892721146,0.18652698724447425,0.1357947328142359
